cal,date,name
USFED,2019-10-14,Columbus Day
USFED,2019-11-11,Veterans Day
USFED,2019-11-28,Thanksgiving Day
USFED,2019-12-25,Christmas Day
USFED,2020-01-01,New Year's Day
USFED,2020-01-20,Martin Luther King Jr. Day
USFED,2020-02-17,Washington's Birthday
USFED,2020-05-25,Memorial Day
USFED,2020-07-03,Independence Day (observed)
USFED,2020-07-04,Independence Day
USFED,2020-09-07,Labor Day
USFED,2020-10-12,Columbus Day
USFED,2020-11-11,Veterans Day
USFED,2020-11-26,Thanksgiving Day
USFED,2020-12-25,Christmas Day
USFED,2021-01-01,New Year's Day
USFED,2021-01-18,Martin Luther King Jr. Day
USFED,2021-02-15,Washington's Birthday
USFED,2021-05-31,Memorial Day
USFED,2021-06-18,Juneteenth National Independence Day (observed)
USFED,2021-06-19,Juneteenth National Independence Day
USFED,2021-07-04,Independence Day
USFED,2021-07-05,Independence Day (observed)
USFED,2021-09-06,Labor Day
USFED,2021-10-11,Columbus Day
USFED,2021-11-11,Veterans Day
USFED,2021-11-25,Thanksgiving Day
USFED,2021-12-24,Christmas Day (observed)
USFED,2021-12-25,Christmas Day
USFED,2021-12-31,New Year's Day (observed)
USFED,2022-01-01,New Year's Day
USFED,2022-01-17,Martin Luther King Jr. Day
USFED,2022-02-21,Washington's Birthday
USFED,2022-05-30,Memorial Day
USFED,2022-06-19,Juneteenth National Independence Day
USFED,2022-06-20,Juneteenth National Independence Day (observed)
USFED,2022-07-04,Independence Day
USFED,2022-09-05,Labor Day
USFED,2022-10-10,Columbus Day
USFED,2022-11-11,Veterans Day
USFED,2022-11-24,Thanksgiving Day
USFED,2022-12-25,Christmas Day
USFED,2022-12-26,Christmas Day (observed)
USFED,2023-01-01,New Year's Day
USFED,2023-01-02,New Year's Day (observed)
USFED,2023-01-16,Martin Luther King Jr. Day
USFED,2023-02-20,Washington's Birthday
USFED,2023-05-29,Memorial Day
USFED,2023-06-19,Juneteenth National Independence Day
USFED,2023-07-04,Independence Day
USFED,2023-09-04,Labor Day
USFED,2023-10-09,Columbus Day
USFED,2023-11-10,Veterans Day (observed)
USFED,2023-11-11,Veterans Day
USFED,2023-11-23,Thanksgiving Day
USFED,2023-12-25,Christmas Day
USFED,2024-01-01,New Year's Day
USFED,2024-01-15,Martin Luther King Jr. Day
USFED,2024-02-19,Washington's Birthday
USFED,2024-05-27,Memorial Day
USFED,2024-06-19,Juneteenth National Independence Day
USFED,2024-07-04,Independence Day
USFED,2024-09-02,Labor Day
USFED,2024-10-14,Columbus Day
USFED,2024-11-11,Veterans Day
USFED,2024-11-28,Thanksgiving Day
USFED,2024-12-25,Christmas Day
USFED,2025-01-01,New Year's Day
USFED,2025-01-20,Martin Luther King Jr. Day
USFED,2025-02-17,Washington's Birthday
USFED,2025-05-26,Memorial Day
USFED,2025-06-19,Juneteenth National Independence Day
USFED,2025-07-04,Independence Day
USFED,2025-09-01,Labor Day
USFED,2025-10-13,Columbus Day
USFED,2025-11-11,Veterans Day
USFED,2025-11-27,Thanksgiving Day
USFED,2025-12-25,Christmas Day
USFED,2026-01-01,New Year's Day
USFED,2026-01-19,Martin Luther King Jr. Day
USFED,2026-02-16,Washington's Birthday
USFED,2026-05-25,Memorial Day
USFED,2026-06-19,Juneteenth National Independence Day
USFED,2026-07-03,Independence Day (observed)
USFED,2026-07-04,Independence Day
USFED,2026-09-07,Labor Day
USFED,2026-10-12,Columbus Day
USFED,2026-11-11,Veterans Day
USFED,2026-11-26,Thanksgiving Day
USFED,2026-12-25,Christmas Day
USFED,2027-01-01,New Year's Day
USFED,2027-01-18,Martin Luther King Jr. Day
USFED,2027-02-15,Washington's Birthday
USFED,2027-05-31,Memorial Day
USFED,2027-06-18,Juneteenth National Independence Day (observed)
USFED,2027-06-19,Juneteenth National Independence Day
USFED,2027-07-04,Independence Day
USFED,2027-07-05,Independence Day (observed)
USFED,2027-09-06,Labor Day
USFED,2027-10-11,Columbus Day
USFED,2027-11-11,Veterans Day
USFED,2027-11-25,Thanksgiving Day
USFED,2027-12-24,Christmas Day (observed)
USFED,2027-12-25,Christmas Day
USFED,2027-12-31,New Year's Day (observed)
UK,2016-01-01,New Year's Day
UK,2016-03-25,Good Friday
UK,2016-03-28,Easter Monday
UK,2016-05-02,May Day
UK,2016-05-30,Spring Bank Holiday
UK,2016-08-29,Late Summer Bank Holiday
UK,2016-12-25,Christmas Day
UK,2016-12-26,Boxing Day
UK,2016-12-27,Christmas Day (observed)
UK,2017-01-01,New Year's Day
UK,2017-01-02,New Year's Day (observed)
UK,2017-04-14,Good Friday
UK,2017-04-17,Easter Monday
UK,2017-05-01,May Day
UK,2017-05-29,Spring Bank Holiday
UK,2017-08-28,Late Summer Bank Holiday
UK,2017-12-25,Christmas Day
UK,2017-12-26,Boxing Day
UK,2018-01-01,New Year's Day
UK,2018-03-30,Good Friday
UK,2018-04-02,Easter Monday
UK,2018-05-07,May Day
UK,2018-05-28,Spring Bank Holiday
UK,2018-08-27,Late Summer Bank Holiday
UK,2018-12-25,Christmas Day
UK,2018-12-26,Boxing Day
UK,2019-01-01,New Year's Day
UK,2019-04-19,Good Friday
UK,2019-04-22,Easter Monday
UK,2019-05-06,May Day
UK,2019-05-27,Spring Bank Holiday
UK,2019-08-26,Late Summer Bank Holiday
UK,2019-12-25,Christmas Day
UK,2019-12-26,Boxing Day
UK,2020-01-01,New Year's Day
UK,2020-04-10,Good Friday
UK,2020-04-13,Easter Monday
UK,2020-05-08,May Day
UK,2020-05-25,Spring Bank Holiday
UK,2020-08-31,Late Summer Bank Holiday
UK,2020-12-25,Christmas Day
UK,2020-12-26,Boxing Day
UK,2020-12-28,Boxing Day (observed)
UK,2021-01-01,New Year's Day
UK,2021-04-02,Good Friday
UK,2021-04-05,Easter Monday
UK,2021-05-03,May Day
UK,2021-05-31,Spring Bank Holiday
UK,2021-08-30,Late Summer Bank Holiday
UK,2021-12-25,Christmas Day
UK,2021-12-26,Boxing Day
UK,2021-12-27,Christmas Day (observed)
UK,2021-12-28,Boxing Day (observed)
UK,2022-01-01,New Year's Day
UK,2022-01-03,New Year's Day (observed)
UK,2022-04-15,Good Friday
UK,2022-04-18,Easter Monday
UK,2022-05-02,May Day
UK,2022-06-02,Spring Bank Holiday
UK,2022-06-03,Platinum Jubilee of Elizabeth II
UK,2022-08-29,Late Summer Bank Holiday
UK,2022-09-19,State Funeral of Queen Elizabeth II
UK,2022-12-25,Christmas Day
UK,2022-12-26,Boxing Day
UK,2022-12-27,Christmas Day (observed)
UK,2023-01-01,New Year's Day
UK,2023-01-02,New Year's Day (observed)
UK,2023-04-07,Good Friday
UK,2023-04-10,Easter Monday
UK,2023-05-01,May Day
UK,2023-05-08,Coronation of Charles III
UK,2023-05-29,Spring Bank Holiday
UK,2023-08-28,Late Summer Bank Holiday
UK,2023-12-25,Christmas Day
UK,2023-12-26,Boxing Day
UK,2024-01-01,New Year's Day
UK,2024-03-29,Good Friday
UK,2024-04-01,Easter Monday
UK,2024-05-06,May Day
UK,2024-05-27,Spring Bank Holiday
UK,2024-08-26,Late Summer Bank Holiday
UK,2024-12-25,Christmas Day
UK,2024-12-26,Boxing Day
UK,2025-01-01,New Year's Day
UK,2025-04-18,Good Friday
UK,2025-04-21,Easter Monday
UK,2025-05-05,May Day
UK,2025-05-26,Spring Bank Holiday
UK,2025-08-25,Late Summer Bank Holiday
UK,2025-12-25,Christmas Day
UK,2025-12-26,Boxing Day
UK,2026-01-01,New Year's Day
UK,2026-04-03,Good Friday
UK,2026-04-06,Easter Monday
UK,2026-05-04,May Day
UK,2026-05-25,Spring Bank Holiday
UK,2026-08-31,Late Summer Bank Holiday
UK,2026-12-25,Christmas Day
UK,2026-12-26,Boxing Day
UK,2026-12-28,Boxing Day (observed)
UK,2027-01-01,New Year's Day
UK,2027-03-26,Good Friday
UK,2027-03-29,Easter Monday
UK,2027-05-03,May Day
UK,2027-05-31,Spring Bank Holiday
UK,2027-08-30,Late Summer Bank Holiday
UK,2027-12-25,Christmas Day
UK,2027-12-26,Boxing Day
UK,2027-12-27,Christmas Day (observed)
UK,2027-12-28,Boxing Day (observed)
AU,2016-01-01,New Year's Day
AU,2016-01-26,Australia Day
AU,2016-03-25,Good Friday
AU,2016-03-26,Easter Saturday
AU,2016-03-27,Easter Sunday
AU,2016-03-28,Easter Monday
AU,2016-04-25,ANZAC Day
AU,2016-06-13,Queen's Birthday
AU,2016-10-03,Labour Day
AU,2016-12-25,Christmas Day
AU,2016-12-26,Boxing Day
AU,2016-12-27,Christmas Day (observed)
AU,2017-01-01,New Year's Day
AU,2017-01-02,New Year's Day (observed)
AU,2017-01-26,Australia Day
AU,2017-04-14,Good Friday
AU,2017-04-15,Easter Saturday
AU,2017-04-16,Easter Sunday
AU,2017-04-17,Easter Monday
AU,2017-04-25,ANZAC Day
AU,2017-06-12,Queen's Birthday
AU,2017-10-02,Labour Day
AU,2017-12-25,Christmas Day
AU,2017-12-26,Boxing Day
AU,2018-01-01,New Year's Day
AU,2018-01-26,Australia Day
AU,2018-03-30,Good Friday
AU,2018-03-31,Easter Saturday
AU,2018-04-01,Easter Sunday
AU,2018-04-02,Easter Monday
AU,2018-04-25,ANZAC Day
AU,2018-06-11,Queen's Birthday
AU,2018-10-01,Labour Day
AU,2018-12-25,Christmas Day
AU,2018-12-26,Boxing Day
AU,2019-01-01,New Year's Day
AU,2019-01-28,Australia Day
AU,2019-04-19,Good Friday
AU,2019-04-20,Easter Saturday
AU,2019-04-21,Easter Sunday
AU,2019-04-22,Easter Monday
AU,2019-04-25,ANZAC Day
AU,2019-06-10,Queen's Birthday
AU,2019-10-07,Labour Day
AU,2019-12-25,Christmas Day
AU,2019-12-26,Boxing Day
AU,2020-01-01,New Year's Day
AU,2020-01-27,Australia Day
AU,2020-04-10,Good Friday
AU,2020-04-11,Easter Saturday
AU,2020-04-12,Easter Sunday
AU,2020-04-13,Easter Monday
AU,2020-04-25,ANZAC Day
AU,2020-06-08,Queen's Birthday
AU,2020-10-05,Labour Day
AU,2020-12-25,Christmas Day
AU,2020-12-26,Boxing Day
AU,2020-12-28,Boxing Day (observed)
AU,2021-01-01,New Year's Day
AU,2021-01-26,Australia Day
AU,2021-04-02,Good Friday
AU,2021-04-03,Easter Saturday
AU,2021-04-04,Easter Sunday
AU,2021-04-05,Easter Monday
AU,2021-04-25,ANZAC Day
AU,2021-06-14,Queen's Birthday
AU,2021-10-04,Labour Day
AU,2021-12-25,Christmas Day
AU,2021-12-26,Boxing Day
AU,2021-12-27,Christmas Day (observed)
AU,2021-12-28,Boxing Day (observed)
AU,2022-01-01,New Year's Day
AU,2022-01-03,New Year's Day (observed)
AU,2022-01-26,Australia Day
AU,2022-04-15,Good Friday
AU,2022-04-16,Easter Saturday
AU,2022-04-17,Easter Sunday
AU,2022-04-18,Easter Monday
AU,2022-04-25,ANZAC Day
AU,2022-06-13,Queen's Birthday
AU,2022-09-22,National Day of Mourning for Queen Elizabeth II
AU,2022-10-03,Labour Day
AU,2022-12-25,Christmas Day
AU,2022-12-26,Boxing Day
AU,2022-12-27,Christmas Day (observed)
AU,2023-01-01,New Year's Day
AU,2023-01-02,New Year's Day (observed)
AU,2023-01-26,Australia Day
AU,2023-04-07,Good Friday
AU,2023-04-08,Easter Saturday
AU,2023-04-09,Easter Sunday
AU,2023-04-10,Easter Monday
AU,2023-04-25,ANZAC Day
AU,2023-06-12,King's Birthday
AU,2023-10-02,Labour Day
AU,2023-12-25,Christmas Day
AU,2023-12-26,Boxing Day
AU,2024-01-01,New Year's Day
AU,2024-01-26,Australia Day
AU,2024-03-29,Good Friday
AU,2024-03-30,Easter Saturday
AU,2024-03-31,Easter Sunday
AU,2024-04-01,Easter Monday
AU,2024-04-25,ANZAC Day
AU,2024-06-10,King's Birthday
AU,2024-10-07,Labour Day
AU,2024-12-25,Christmas Day
AU,2024-12-26,Boxing Day
AU,2025-01-01,New Year's Day
AU,2025-01-27,Australia Day
AU,2025-04-18,Good Friday
AU,2025-04-19,Easter Saturday
AU,2025-04-20,Easter Sunday
AU,2025-04-21,Easter Monday
AU,2025-04-25,ANZAC Day
AU,2025-06-09,King's Birthday
AU,2025-10-06,Labour Day
AU,2025-12-25,Christmas Day
AU,2025-12-26,Boxing Day
AU,2026-01-01,New Year's Day
AU,2026-01-26,Australia Day
AU,2026-04-03,Good Friday
AU,2026-04-04,Easter Saturday
AU,2026-04-05,Easter Sunday
AU,2026-04-06,Easter Monday
AU,2026-04-25,ANZAC Day
AU,2026-04-27,ANZAC Day (observed)
AU,2026-06-08,King's Birthday
AU,2026-10-05,Labour Day
AU,2026-12-25,Christmas Day
AU,2026-12-26,Boxing Day
AU,2026-12-28,Boxing Day (observed)
AU,2027-01-01,New Year's Day
AU,2027-01-26,Australia Day
AU,2027-03-26,Good Friday
AU,2027-03-27,Easter Saturday
AU,2027-03-28,Easter Sunday
AU,2027-03-29,Easter Monday
AU,2027-04-25,ANZAC Day
AU,2027-04-26,ANZAC Day (observed)
AU,2027-06-14,King's Birthday
AU,2027-10-04,Labour Day
AU,2027-12-25,Christmas Day
AU,2027-12-26,Boxing Day
AU,2027-12-27,Christmas Day (observed)
AU,2027-12-28,Boxing Day (observed)
NZ,2016-01-01,New Year's Day
NZ,2016-01-02,Day after New Year's Day
NZ,2016-01-04,Day after New Year's Day (observed)
NZ,2016-02-06,Waitangi Day
NZ,2016-02-08,Waitangi Day (observed)
NZ,2016-03-25,Good Friday
NZ,2016-03-28,Easter Monday
NZ,2016-04-25,Anzac Day
NZ,2016-06-06,Queen's Birthday
NZ,2016-10-24,Labour Day
NZ,2016-12-25,Christmas Day
NZ,2016-12-26,Boxing Day
NZ,2016-12-27,Christmas Day (observed)
NZ,2017-01-01,New Year's Day
NZ,2017-01-02,Day after New Year's Day
NZ,2017-01-03,New Year's Day (observed)
NZ,2017-02-06,Waitangi Day
NZ,2017-04-14,Good Friday
NZ,2017-04-17,Easter Monday
NZ,2017-04-25,Anzac Day
NZ,2017-06-05,Queen's Birthday
NZ,2017-10-23,Labour Day
NZ,2017-12-25,Christmas Day
NZ,2017-12-26,Boxing Day
NZ,2018-01-01,New Year's Day
NZ,2018-01-02,Day after New Year's Day
NZ,2018-02-06,Waitangi Day
NZ,2018-03-30,Good Friday
NZ,2018-04-02,Easter Monday
NZ,2018-04-25,Anzac Day
NZ,2018-06-04,Queen's Birthday
NZ,2018-10-22,Labour Day
NZ,2018-12-25,Christmas Day
NZ,2018-12-26,Boxing Day
NZ,2019-01-01,New Year's Day
NZ,2019-01-02,Day after New Year's Day
NZ,2019-02-06,Waitangi Day
NZ,2019-04-19,Good Friday
NZ,2019-04-22,Easter Monday
NZ,2019-04-25,Anzac Day
NZ,2019-06-03,Queen's Birthday
NZ,2019-10-28,Labour Day
NZ,2019-12-25,Christmas Day
NZ,2019-12-26,Boxing Day
NZ,2020-01-01,New Year's Day
NZ,2020-01-02,Day after New Year's Day
NZ,2020-02-06,Waitangi Day
NZ,2020-04-10,Good Friday
NZ,2020-04-13,Easter Monday
NZ,2020-04-25,Anzac Day
NZ,2020-04-27,Anzac Day (observed)
NZ,2020-06-01,Queen's Birthday
NZ,2020-10-26,Labour Day
NZ,2020-12-25,Christmas Day
NZ,2020-12-26,Boxing Day
NZ,2020-12-28,Boxing Day (observed)
NZ,2021-01-01,New Year's Day
NZ,2021-01-02,Day after New Year's Day
NZ,2021-01-04,Day after New Year's Day (observed)
NZ,2021-02-06,Waitangi Day
NZ,2021-02-08,Waitangi Day (observed)
NZ,2021-04-02,Good Friday
NZ,2021-04-05,Easter Monday
NZ,2021-04-25,Anzac Day
NZ,2021-04-26,Anzac Day (observed)
NZ,2021-06-07,Queen's Birthday
NZ,2021-10-25,Labour Day
NZ,2021-12-25,Christmas Day
NZ,2021-12-26,Boxing Day
NZ,2021-12-27,Christmas Day (observed)
NZ,2021-12-28,Boxing Day (observed)
NZ,2022-01-01,New Year's Day
NZ,2022-01-02,Day after New Year's Day
NZ,2022-01-03,New Year's Day (observed)
NZ,2022-01-04,Day after New Year's Day (observed)
NZ,2022-02-06,Waitangi Day
NZ,2022-02-07,Waitangi Day (observed)
NZ,2022-04-15,Good Friday
NZ,2022-04-18,Easter Monday
NZ,2022-04-25,Anzac Day
NZ,2022-06-06,Queen's Birthday
NZ,2022-06-24,Matariki
NZ,2022-09-26,Queen Elizabeth II Memorial Day
NZ,2022-10-24,Labour Day
NZ,2022-12-25,Christmas Day
NZ,2022-12-26,Boxing Day
NZ,2022-12-27,Christmas Day (observed)
NZ,2023-01-01,New Year's Day
NZ,2023-01-02,Day after New Year's Day
NZ,2023-01-03,New Year's Day (observed)
NZ,2023-02-06,Waitangi Day
NZ,2023-04-07,Good Friday
NZ,2023-04-10,Easter Monday
NZ,2023-04-25,Anzac Day
NZ,2023-06-05,King's Birthday
NZ,2023-07-14,Matariki
NZ,2023-10-23,Labour Day
NZ,2023-12-25,Christmas Day
NZ,2023-12-26,Boxing Day
NZ,2024-01-01,New Year's Day
NZ,2024-01-02,Day after New Year's Day
NZ,2024-02-06,Waitangi Day
NZ,2024-03-29,Good Friday
NZ,2024-04-01,Easter Monday
NZ,2024-04-25,Anzac Day
NZ,2024-06-03,King's Birthday
NZ,2024-06-28,Matariki
NZ,2024-10-28,Labour Day
NZ,2024-12-25,Christmas Day
NZ,2024-12-26,Boxing Day
NZ,2025-01-01,New Year's Day
NZ,2025-01-02,Day after New Year's Day
NZ,2025-02-06,Waitangi Day
NZ,2025-04-18,Good Friday
NZ,2025-04-21,Easter Monday
NZ,2025-04-25,Anzac Day
NZ,2025-06-02,King's Birthday
NZ,2025-06-20,Matariki
NZ,2025-10-27,Labour Day
NZ,2025-12-25,Christmas Day
NZ,2025-12-26,Boxing Day
NZ,2026-01-01,New Year's Day
NZ,2026-01-02,Day after New Year's Day
NZ,2026-02-06,Waitangi Day
NZ,2026-04-03,Good Friday
NZ,2026-04-06,Easter Monday
NZ,2026-04-25,Anzac Day
NZ,2026-04-27,Anzac Day (observed)
NZ,2026-06-01,King's Birthday
NZ,2026-07-10,Matariki
NZ,2026-10-26,Labour Day
NZ,2026-12-25,Christmas Day
NZ,2026-12-26,Boxing Day
NZ,2026-12-28,Boxing Day (observed)
NZ,2027-01-01,New Year's Day
NZ,2027-01-02,Day after New Year's Day
NZ,2027-01-04,Day after New Year's Day (observed)
NZ,2027-02-06,Waitangi Day
NZ,2027-02-08,Waitangi Day (observed)
NZ,2027-03-26,Good Friday
NZ,2027-03-29,Easter Monday
NZ,2027-04-25,Anzac Day
NZ,2027-04-26,Anzac Day (observed)
NZ,2027-06-07,King's Birthday
NZ,2027-06-25,Matariki
NZ,2027-10-25,Labour Day
NZ,2027-12-25,Christmas Day
NZ,2027-12-26,Boxing Day
NZ,2027-12-27,Christmas Day (observed)
NZ,2027-12-28,Boxing Day (observed)
